battery_voltage_v,solar_panel_current_a,cpu_temp_c,reaction_wheel_rpm,attitude_error_roll_deg,attitude_error_pitch_deg,attitude_error_yaw_deg,link_quality_db,power_consumption_w,eclipse_flag,operational_state
29.17638,0.16331,22.17241,790.76007,0.01131,-0.00621,0.00398,-0.9883,112.67311,1.0,3
28.86513,3.74666,18.84604,-467.90727,-0.00975,-0.02044,-0.00626,-2.53515,70.57985,0.0,2
31.24879,5.9951,23.67196,109.53901,0.00336,-0.00922,0.00551,-0.45393,115.43924,0.0,0
30.09429,6.76061,26.52261,-154.89556,0.00136,0.02444,-0.01703,-0.93663,100.97815,0.0,0
31.84365,4.78566,15.34873,-42.34051,-0.01458,-0.0039,0.01374,-0.46268,101.91057,0.0,3
29.11699,0.10403,25.37186,-542.27863,0.0023,-0.01097,-0.00871,-0.39328,110.99393,1.0,0
30.69969,6.14537,22.20643,1815.23353,0.03033,0.02862,0.02104,-1.27209,100.77645,0.0,0
25.53453,0.5108,10.0,-692.0692,-0.03465,-0.04196,-0.00827,-2.64401,66.43259,1.0,2
28.34983,0.17218,24.8474,-2288.04102,0.03486,0.14605,0.01166,-2.85673,116.96261,1.0,3
32.543,7.43173,18.14631,422.56859,-0.03453,-0.02733,-0.00887,-1.59334,94.05782,0.0,0
30.1125,8.75767,23.31809,826.45263,-0.00679,-0.02589,-0.01735,-2.38809,101.14817,0.0,0
27.72581,0.013,10.0,1008.76378,-0.02315,-0.00637,-0.01749,-1.65742,48.0,1.0,2
28.35453,3.62546,15.29983,465.59579,-0.012,-0.00633,0.05621,-4.68583,53.47461,0.0,2
29.63189,0.06363,33.53308,374.83603,0.00268,0.01073,0.0189,-0.70689,110.35712,1.0,0
29.46896,5.25671,25.45317,2586.12308,0.11001,0.2856,-0.05383,-7.45459,119.40268,0.0,3
28.83491,4.7671,10.80651,213.95955,0.01836,0.01469,-0.00776,-2.69033,56.16007,0.0,2
30.52722,8.00048,19.31266,-442.99068,-0.02589,0.02136,0.00294,-2.24346,91.89525,0.0,0
