log_xray_flux,halpha_intensity,magnetic_bmax,sunspot_area,prominence_height,radio_burst_sfu,uv_emission_index,temp_proxy_mk,solar_wind_speed,spectral_ratio_1,spectral_ratio_2,spectral_ratio_3,activity_class
-7.76894,1.24139,149.13977,80.0,19.16215,7.5569,-5.48159,6.94157,280.0,0.3141,0.42321,-0.52782,0
-8.28221,2.16475,40.97403,16.97944,10.20768,6.55971,-6.10215,5.84832,398.6494,0.75383,-2.00545,-2.69289,0
-6.74657,1.24572,11.14311,34.01277,20.57004,1.30454,-6.43199,6.35516,351.38214,0.89718,0.9269,-1.84963,0
-7.31772,1.15302,55.05502,7.26871,23.56191,6.23448,-6.22871,7.49788,318.33461,0.44937,0.80393,-0.04715,0
-7.80067,0.61113,20.35409,35.33114,22.17808,3.77222,-8.49448,7.22592,359.35729,3.94866,0.78839,0.35718,0
-6.57015,5.68168,858.48461,181.85094,20.76054,18.28568,-6.68689,7.50882,347.10382,1.20924,3.96666,0.23687,1
-4.9245,5.68566,540.3459,582.31576,96.50518,168.78503,-3.68696,7.3298,882.79151,2.49117,1.44823,-0.55858,2
-6.56423,1.42678,907.09205,129.04239,47.73753,20.38745,-6.12276,5.11113,435.94973,1.72241,1.40225,0.14414,1
-7.74427,1.19741,62.86274,24.99836,20.30927,5.61773,-5.20213,5.68881,453.46524,1.86768,0.74908,-0.13916,0
-7.32766,0.7498,17.74573,23.32176,14.42143,2.14683,-6.45921,11.74366,376.73684,1.41821,1.86659,-1.96262,0
-4.99593,9.12974,480.4528,1483.09538,107.99903,276.41954,-2.85313,5.67275,523.19047,0.49361,6.08605,-1.00559,2
-6.005,1.19622,497.73661,290.06605,47.1673,3.01394,-3.76834,8.62399,497.90271,3.02903,-0.57309,0.89783,1
-7.24309,2.12137,151.7702,13.28777,30.48117,2.32746,-4.18923,6.23079,348.65311,-0.0116,1.17391,1.40403,0
-7.24671,2.6685,284.54929,195.16355,66.43671,20.97508,-6.84701,5.31144,541.00488,-0.1387,2.05977,1.39943,1
-6.75702,1.90617,793.68449,170.62985,39.86706,20.1949,-7.09109,7.62919,320.0,-0.02575,-1.31884,-1.44213,1
-4.85563,7.82698,605.15257,653.91563,172.12532,79.61147,-1.67396,4.12741,596.29606,0.28017,2.971,1.38026,2
-7.26178,1.0202,900.04065,208.06518,69.89955,17.64868,-6.91118,4.20935,484.01834,-1.20563,-0.48694,-1.01644,1
-5.46761,19.44153,1154.12306,730.38591,73.74342,319.96331,-4.02086,8.65904,555.01979,1.7055,3.91497,-1.74152,2
-4.61386,7.34207,1209.64601,271.00197,152.31847,140.72536,-3.2559,10.83832,480.44191,2.698,1.51282,0.57643,2
-7.28377,0.79357,25.26455,17.97929,23.98434,2.45775,-6.81962,6.7175,496.76792,-0.14984,1.21783,1.95321,0
-5.20226,7.06584,415.03473,1919.23294,120.99548,221.8428,-5.13567,11.12204,546.46777,2.22442,0.36659,-0.37231,2
-7.61805,0.72822,75.57579,15.31436,46.62525,1.80017,-4.72603,5.62281,315.15663,0.73595,-0.05415,-1.56921,0
-3.95486,5.25571,804.06757,385.2047,92.09507,174.13836,-3.5591,10.72805,877.06203,2.56505,0.19953,-0.13098,2
-6.6512,1.29353,694.20474,233.84798,42.37612,2.88462,-5.85009,5.06302,381.01216,0.91798,2.26203,3.62271,1
-7.30119,0.6728,44.12517,17.81801,22.55974,4.38564,-5.31582,6.43921,392.58405,1.32733,0.45407,-1.38447,0
-4.84,10.59684,676.00724,218.07373,153.5395,89.29262,-7.07454,8.86518,511.96281,0.79694,2.37151,1.00166,2
-6.60126,2.81415,167.78523,161.4451,37.84078,17.75443,-5.11687,9.55029,496.65605,0.00843,-1.20068,-0.07473,1
-7.05753,2.94679,123.29136,458.7351,52.81814,16.14794,-4.22007,4.22083,438.70024,-0.94566,4.55105,-0.06772,1
-6.6876,3.28505,321.92505,231.1666,92.03087,46.43731,-4.61997,6.05611,517.28277,0.89392,-0.6606,-0.3036,1
-7.07979,0.83899,112.03326,4.87852,25.48935,3.15892,-6.38543,5.74091,369.56533,1.90817,0.70135,0.17284,0
-7.91243,1.24643,14.64899,52.72192,26.54584,3.63746,-6.8625,3.81309,451.84685,0.37204,1.36917,1.1813,0
-4.17363,7.95484,1034.26887,485.9323,96.89944,287.35722,-4.54109,7.69931,550.05079,0.37231,2.94082,1.37468,2
-6.95715,2.43653,1116.94488,59.4242,53.25148,11.71053,-4.35454,9.85008,417.73047,0.54817,1.22401,-0.55407,1
-4.14005,10.67812,1958.90261,589.81241,174.93573,120.58134,-3.49307,11.91066,437.53533,0.38734,3.54255,0.24934,2
-7.33369,1.41772,52.79425,9.26321,21.91939,2.95713,-6.46814,4.51339,415.42428,1.54332,-1.14151,1.03976,0
