rsi_14,macd_signal,bb_position,volume_ratio,atr_pct,price_momentum_5d,ma_cross,overnight_gap,market_sentiment,sector_beta,earnings_proximity,spread_proxy,movement
58.97551,0.17444,0.33585,0.46517,1.71337,0.78293,0.79059,0.37474,0.52089,0.98861,0.27333,0.16598,1
44.26086,-0.02632,0.59114,1.29296,1.35959,-0.00085,-1.08981,0.52571,-0.52007,0.62354,0.38796,0.07421,0
76.87787,-0.10362,0.88,1.17451,1.05894,-0.43125,-0.90334,-0.29898,-0.24296,0.43996,-0.6048,0.03486,0
73.12366,-0.3037,0.5756,0.98256,1.67412,0.19173,-0.30869,-0.39027,-0.75524,1.07111,-0.06076,0.05751,0
78.60538,0.04602,0.49145,1.48938,3.16207,1.84157,-0.17252,-0.027,0.19878,1.90747,0.75881,0.06009,2
34.96384,1.3399,0.62565,1.60293,1.17697,-0.00092,0.96599,-0.41263,-0.31445,1.11558,-0.33033,0.03925,2
52.75671,0.21766,0.30103,2.22055,1.31742,2.13704,0.27114,0.27216,-0.16243,0.94742,-0.35635,0.02654,2
56.14685,0.5458,0.41524,0.98595,1.5274,0.21741,0.38782,1.25777,0.80408,0.3286,0.83004,0.12123,2
43.75993,0.50167,0.84123,1.80347,1.1095,-0.86156,0.42511,0.4375,0.59015,0.9089,0.09242,0.01231,2
73.33421,0.28839,0.3984,1.40672,1.30688,-0.65498,0.78308,-0.30718,0.11448,1.40479,-0.68102,0.05539,2
51.98997,0.23745,0.71225,1.07957,2.86986,-4.36699,0.38553,-0.5478,0.32491,1.10817,0.02808,0.07071,0
20.87093,0.6058,0.65205,1.40119,1.44003,-1.14888,0.19893,-1.24036,0.06045,0.8745,0.61438,0.04738,2
18.28519,-0.24579,0.48458,0.80502,2.18137,-0.59854,-0.15741,0.24724,-0.14123,0.78803,0.11933,0.04391,2
35.97279,1.085,0.23417,0.70026,1.54932,-0.02644,0.53047,0.39871,0.20601,0.49836,-0.66964,0.12291,2
63.79263,0.05862,0.25229,0.72277,1.54899,0.10953,0.22363,-0.7946,0.15198,0.33473,0.70226,0.09601,2
53.72719,-0.22417,0.25932,1.69299,3.01442,1.74932,0.06356,1.20815,-0.03249,0.80556,-0.59867,0.03701,2
51.79725,-0.43694,0.74056,0.61662,1.11595,2.10934,0.08172,-0.09377,0.50889,0.85827,0.0201,0.05333,1
42.06036,-0.36953,0.71611,1.25745,1.02533,-0.55388,0.03042,0.12351,0.19408,0.36947,-0.27379,0.05095,1
69.37808,-0.11398,0.54654,2.20074,2.429,-1.89336,-0.1552,1.27795,0.221,1.03889,0.11473,0.01227,0
47.68413,-0.35584,0.25708,0.78556,1.139,-2.13855,-0.29061,-0.14313,-0.19495,2.49923,0.98872,0.08667,1
56.19294,0.14331,0.62279,1.91574,1.20838,-0.09549,-0.28342,0.38915,-0.1186,0.83121,-0.3284,0.02335,0
30.57,1.08641,0.44695,1.23911,1.91025,0.85805,0.90167,0.14445,0.06608,0.89047,0.12218,0.09113,2
15.56893,0.61815,0.64159,0.91726,1.64013,0.94734,-0.15276,0.19483,-0.19421,0.425,0.81452,0.0786,2
73.09505,0.2017,0.80971,1.71552,0.70077,0.33476,-0.29961,-0.22685,-0.25141,1.21662,0.36114,0.03208,0
17.62709,-1.12705,0.57126,0.6686,1.15527,-1.98702,-0.6648,-0.51342,-0.0991,1.12484,-0.57546,0.0984,0
79.43148,-0.0636,0.63819,2.14839,0.94404,0.46752,0.40693,0.24522,0.53228,0.86049,-0.36248,0.01,1
40.86675,-0.98754,0.33159,0.91772,1.77023,1.32185,0.00621,0.08161,0.03742,0.8008,-0.28535,0.04326,1
24.60419,-1.42133,0.60234,1.00648,1.12657,-5.00477,-0.42466,-0.27751,0.42085,1.26103,-0.61318,0.07991,0
63.86352,-0.34159,0.42182,0.80757,1.40855,-0.12722,-0.71003,1.06455,0.25129,0.51904,-0.31571,0.0731,1
36.44963,-0.01364,0.0627,0.96443,1.57259,2.37461,-0.23594,1.04647,0.54651,0.84283,0.58836,0.07982,2
53.59722,0.53609,0.27976,1.22162,1.38073,3.25242,0.50706,0.01839,0.05689,0.62768,0.56882,0.03471,2
70.78704,0.13885,0.39245,0.97644,1.59403,-0.43456,0.31155,0.6284,-0.26042,1.03066,-0.88686,0.07652,1
56.81296,-0.44877,0.29076,0.51495,1.37317,0.76602,-0.15894,-0.08748,-0.12857,1.00515,0.08169,0.06071,1
29.98678,-0.1214,0.53537,1.02845,0.82308,-1.51138,-0.0331,0.28514,-0.63886,1.23921,-0.52014,0.06366,0
61.20417,-0.19188,0.31328,0.88647,1.22921,0.54946,-0.12383,0.06721,-0.12003,0.73014,-0.53585,0.10832,1
43.55379,-1.15408,0.37106,1.42019,1.00295,-0.48073,-0.19502,-0.40449,0.13491,0.76778,-0.08442,0.02832,1
50.67921,-0.86139,0.8182,1.01118,1.58905,-0.42499,0.20958,-0.63361,-0.38953,0.69184,0.03625,0.08287,1
39.0731,0.72856,0.5834,0.60525,1.82645,1.8537,0.55294,-0.48387,0.13627,0.30992,-0.40403,0.09215,2
44.78803,0.46121,0.46573,1.01615,2.76003,-0.63087,0.40604,0.39678,-0.34412,0.52442,0.69237,0.08375,1
42.798,0.9454,0.50425,1.73967,1.09195,3.2244,-0.16266,0.66284,-0.81585,0.72544,-0.31146,0.03316,2
30.68569,-0.08451,0.39373,0.76944,2.52911,-1.85342,0.37123,0.04856,-0.11432,0.92394,0.17422,0.08878,0
41.63773,0.3246,0.56209,1.19592,1.11136,-2.13878,0.16858,0.63542,0.80369,0.81307,-0.80249,0.06478,0
43.70899,-0.32595,0.29856,1.1884,1.6509,-0.03123,-0.2585,0.07015,-0.51832,0.71169,0.75582,0.07354,1
84.50067,-1.07864,0.49189,0.73036,2.03467,-0.31736,-0.38476,-0.82523,0.52605,0.2,-0.40366,0.08009,1
39.42561,-0.11054,0.65942,0.9056,2.58453,-2.58864,-0.15539,-0.45015,-0.29703,1.7558,-0.13464,0.08406,1
15.21463,0.84718,0.50243,0.53079,2.34771,2.31335,0.39244,0.36415,0.07928,0.68961,0.7526,0.11153,2
29.70144,0.82308,0.93911,0.78213,1.60435,1.43153,-0.07509,-0.69029,0.03922,0.39071,0.50046,0.11084,0
87.70561,0.04698,0.46206,0.86137,1.13831,-1.43651,-0.59715,-0.43628,-1.0,0.65155,-0.68783,0.0978,0
74.02665,-0.02075,0.48876,0.90197,2.36587,4.24273,-0.21231,1.52081,0.95428,0.20354,0.0837,0.08606,2
28.98925,-0.05676,0.25076,0.89151,0.93723,0.40018,-0.16367,0.35661,-0.59738,0.75519,0.64104,0.08456,2
76.68362,0.77481,0.85314,1.72852,1.3523,0.95438,0.30495,-0.81987,0.2396,0.48082,0.47109,0.0767,2
19.94853,-0.76727,0.4473,1.19558,2.78411,-2.59691,-0.86379,-0.25546,-0.60476,1.24827,-0.56564,0.02833,0
27.15026,1.07155,0.46945,1.1643,1.22161,-1.19217,0.88618,0.42437,0.23144,1.36776,0.81849,0.10659,2
26.91453,0.77153,0.59317,0.88372,2.02774,-1.74743,0.62479,0.29961,0.68405,1.36937,-0.94072,0.07801,2
23.55426,0.04246,0.73938,2.22361,2.3484,1.75039,-0.11031,-1.53088,-0.94765,1.12865,-0.43597,0.02181,0
75.8576,-0.89939,0.21173,1.60158,1.84646,-0.90429,0.14388,0.26771,-0.33596,1.21848,0.18413,0.04413,0
33.69768,0.38518,0.40556,1.27515,3.68343,-0.65686,0.66182,-1.30735,0.01829,1.11123,0.50416,0.05923,2
