momentum_gev,track_chi2,ecal_energy,hcal_energy,ecal_hcal_ratio,dE_dx,isolation_score,n_hits,particle_type
11.09,0.8411,0.2565,0.5221,0.3294,0.814,0.1154,24.82,1
9.824,1.8257,0.4362,0.1302,0.7702,0.6328,0.5444,21.5,1
4.3995,0.901,4.2052,0.2534,0.9432,1.15,0.2576,20.65,0
47.7132,0.7102,0.0676,0.2492,0.2133,0.4655,0.3709,23.82,1
44.6329,0.626,0.1727,0.9899,0.1485,0.444,0.0884,20.94,1
24.2888,0.6412,0.1481,0.7893,0.1579,0.3641,0.3534,23.03,1
9.9913,0.9363,8.92,0.0412,0.9954,0.7751,0.1258,16.34,0
15.566,0.7385,0.2245,0.2672,0.4566,0.534,0.1485,22.93,1
8.2627,1.1971,0.7829,0.5313,0.5957,0.5642,0.1671,21.62,0
5.7935,3.5748,4.6443,0.2077,0.9572,1.1713,0.1064,20.81,0
21.1461,0.6389,0.3442,1.2048,0.2222,0.3678,0.1576,20.72,1
13.0708,4.9256,2.8419,5.4889,0.3411,1.3857,0.3956,11.48,2
18.9442,0.7881,0.4043,0.1317,0.7543,0.3721,0.2581,21.36,1
7.2151,0.8254,0.2637,1.0542,0.2001,0.7233,0.2026,22.6,1
2.3034,0.5735,0.2928,0.5462,0.349,1.0549,0.2119,19.91,1
11.5055,1.4775,0.4785,0.6688,0.417,0.3832,0.171,24.65,1
3.7574,2.5572,3.6255,0.2853,0.927,1.2197,0.0987,19.8,0
5.4307,2.3111,1.3624,3.2797,0.2935,1.4342,0.7599,10.44,2
8.5169,2.2156,1.7735,5.4761,0.2446,1.4083,0.4429,17.17,2
14.0487,2.3821,4.7149,9.4233,0.3335,1.0208,0.2374,15.13,2
2.5936,5.0318,0.1944,1.7262,0.1012,1.9588,0.4374,14.8,2
15.5121,0.8428,2.3544,0.0031,0.9987,0.5336,0.3534,19.66,1
15.257,1.5251,3.4057,0.0478,0.9862,0.4991,0.1338,22.66,1
5.2539,2.179,1.363,2.9147,0.3186,1.5514,0.7646,11.38,2
10.4509,0.8331,0.05,0.1282,0.2805,0.4887,0.1491,20.52,1
3.2928,2.4569,0.8664,2.1153,0.2906,1.6896,0.4774,19.03,2
3.8897,1.199,3.3981,0.2194,0.9394,1.1184,0.3361,20.5,0
8.694,2.4654,2.3192,5.7937,0.2859,1.7098,0.7706,15.67,2
