altitude_km,vertical_extent_km,temperature_c,optical_thickness,droplet_radius_um,liquid_water_path,wind_shear,humidity_pct,albedo,pressure_hpa,cloud_type
2.4742,2.4384,9.0128,5.3377,15.5793,276.9793,1.8697,55.418,0.5935,749.6651,Cumulus
1.264,2.2673,11.5809,4.92,16.399,266.1196,7.9183,80.9121,0.5741,867.3704,Cumulus
2.8754,3.1472,9.0933,6.2961,16.0782,388.906,2.733,71.4197,0.7867,713.8264,Cumulus
3.0465,3.0015,16.9553,5.9101,14.02,348.5751,3.3619,66.0009,0.6948,706.0102,Cumulus
0.4441,1.6762,13.7191,0.5213,13.4904,179.8429,11.6746,69.4918,0.05,955.8181,Cumulus
1.028,3.6981,6.7699,5.8179,11.0392,487.3748,6.1179,82.3677,0.8095,875.7496,Cumulus
2.3151,2.7246,6.7279,3.4948,15.7887,296.3291,3.5048,79.3124,0.4588,789.3732,Cumulus
1.9154,1.9113,9.8788,2.8674,12.8997,231.5905,3.4452,70.7208,0.313,815.6486,Cumulus
2.1849,3.751,4.6479,4.7173,13.9013,501.1464,3.1547,60.6089,0.6152,818.297,Cumulus
1.4323,3.3005,12.6652,5.6165,12.1681,447.9202,4.8211,61.3146,0.8121,862.542,Cumulus
2.9915,1.7884,9.4464,2.5389,15.855,197.0249,1.6873,79.5303,0.2655,706.5247,Cumulus
2.9,4.2217,9.0258,6.0569,12.2739,611.0959,2.8496,59.2226,0.8189,708.5686,Cumulus
2.2594,3.327,10.7478,6.145,15.3684,422.1504,4.2689,70.8185,0.7714,780.0237,Cumulus
3.2145,2.7918,14.8913,5.0705,13.1983,289.2696,3.9957,98.8107,0.5641,702.4588,Cumulus
2.6208,4.0722,8.6838,3.6986,13.3507,553.1994,2.9763,76.5956,0.7882,744.4201,Cumulus
1.4266,2.9274,7.5478,3.5309,15.7572,365.9918,5.82,79.4225,0.5186,841.6479,Cumulus
2.5319,2.7775,14.0349,6.5389,15.9667,350.2069,2.8444,61.3896,0.8001,737.6947,Cumulus
1.337,2.2718,11.8702,2.7332,16.3647,222.7054,6.0759,59.727,0.3814,868.591,Cumulus
2.9906,3.2655,6.7161,6.5967,16.6735,417.2843,3.0525,79.9582,0.7567,726.2769,Cumulus
2.1551,3.1813,8.0207,4.7522,13.6815,383.8761,4.1596,69.1765,0.6783,765.9136,Cumulus
