income,debt_ratio,credit_score,loan_amount,employment_years,missed_payments,risk
59.6,0.3164,705,25.5,8.7,0,0
39.4,0.2799,702,1.0,11.6,0,0
66.3,0.371,678,13.6,2.1,1,0
69.1,0.3081,746,17.6,6.9,0,0
25.7,0.3961,734,19.8,11.3,0,0
35.5,0.3603,625,12.2,8.3,1,0
56.9,0.4326,621,3.3,13.9,0,0
50.3,0.2931,745,11.6,1.7,0,0
54.7,0.3586,671,12.0,1.2,0,0
42.2,0.2131,738,11.8,11.1,0,0
68.2,0.1778,767,25.8,11.5,3,0
66.7,0.4548,644,8.3,7.2,1,0
56.0,0.2759,635,20.4,9.6,0,0
71.9,0.3466,820,19.3,11.0,0,0
62.0,0.2648,741,25.7,4.7,0,0
42.1,0.1796,695,16.9,5.2,0,0
60.5,0.2513,664,24.3,8.8,2,0
40.6,0.4223,689,16.6,11.6,0,0
68.2,0.3166,649,21.5,3.3,0,0
54.3,0.0446,773,6.0,7.2,0,0
52.2,0.2242,673,1.0,7.0,0,0
44.8,0.4639,786,21.0,9.7,0,0
73.3,0.2243,696,21.4,8.0,0,0
52.7,0.0339,657,21.8,5.8,2,0
48.6,0.4772,694,13.8,13.0,1,0
49.7,0.3319,563,29.9,5.8,0,0
63.0,0.2416,713,14.3,6.8,0,0
60.5,0.2054,710,21.4,1.6,0,0
61.2,0.3799,769,22.8,5.1,0,0
61.5,0.185,607,31.7,10.1,0,0
87.1,0.3878,790,15.5,9.3,0,0
48.9,0.3151,769,12.8,10.4,1,0
47.3,0.2794,795,6.0,10.2,0,0
42.8,0.2675,717,30.4,16.4,1,0
64.2,0.229,781,21.4,5.0,0,0
71.9,0.3755,632,21.6,1.5,1,0
53.3,0.1462,763,42.9,3.8,0,0
42.4,0.0554,674,20.6,5.2,0,0
42.6,0.3237,621,7.6,4.1,0,0
64.8,0.3257,653,16.4,8.4,1,0
66.1,0.3076,720,10.2,13.0,0,0
63.1,0.2989,671,14.8,14.2,2,0
45.0,0.2115,743,14.8,10.0,0,0
58.5,0.3445,612,13.3,16.6,1,0
56.8,0.2445,592,6.9,6.6,0,0
58.3,0.1915,802,30.7,1.5,0,0
68.1,0.2126,774,20.4,12.2,1,0
58.4,0.4925,657,16.2,0.6,0,0
65.2,0.0418,720,24.1,5.0,1,0
56.0,0.31,781,21.8,10.1,0,0
59.3,0.0485,745,20.2,7.6,0,0
64.5,0.237,729,23.5,7.2,1,0
33.1,0.198,786,19.1,3.3,1,0
50.2,0.0,676,23.4,8.0,0,0
47.9,0.2967,722,24.0,12.0,1,0
45.4,0.2044,719,19.3,8.1,0,0
50.9,0.0,704,16.2,4.7,1,0
77.4,0.3507,697,30.2,3.0,0,0
42.0,0.4222,724,14.2,4.8,1,0
69.5,0.4288,722,21.1,9.6,0,0
29.8,0.2931,657,21.3,9.4,0,0
50.0,0.2555,768,13.1,4.8,0,0
57.4,0.4094,661,11.5,0.0,1,0
63.8,0.4519,707,15.2,9.7,3,0
65.7,0.386,702,14.1,4.4,0,0
66.9,0.137,741,6.3,10.8,1,0
49.8,0.2742,593,12.8,5.0,1,0
48.1,0.3027,773,20.1,4.0,0,0
67.9,0.0328,679,28.1,8.6,0,0
52.1,0.3063,793,22.4,17.4,0,0
35.9,0.5228,691,1.0,11.0,0,0
38.0,0.3268,717,23.1,8.5,0,0
41.2,0.4268,835,13.5,9.4,0,0
62.5,0.2719,703,21.6,1.0,1,0
57.1,0.2412,794,17.9,3.5,0,0
65.4,0.2958,722,16.5,0.0,1,0
48.6,0.1521,745,17.2,14.9,1,0
57.4,0.1343,724,17.8,14.1,2,0
64.4,0.402,771,28.8,9.6,0,0
50.4,0.4147,679,17.8,8.5,0,0
61.9,0.1311,661,26.7,1.8,0,0
45.1,0.3662,682,25.5,7.1,0,0
49.6,0.2396,726,23.3,15.2,0,0
49.3,0.2908,707,3.7,8.5,1,0
37.1,0.3052,763,26.9,5.7,1,0
62.3,0.3693,798,14.3,1.0,1,0
48.0,0.2599,661,23.7,13.5,0,0
55.2,0.4192,676,10.2,7.7,0,0
62.2,0.2871,634,8.5,1.0,1,0
61.7,0.3249,842,33.8,4.3,0,0
65.0,0.15,738,10.3,2.9,1,0
53.5,0.509,749,27.2,7.5,0,0
48.7,0.3064,640,18.9,8.8,0,0
53.8,0.3356,720,14.6,6.0,0,0
29.7,0.057,751,17.6,11.1,0,0
33.3,0.1513,705,7.6,8.3,0,0
35.2,0.3985,785,17.9,12.2,0,0
40.0,0.2844,850,9.3,6.6,0,0
61.0,0.0203,663,14.8,20.2,2,0
41.4,0.3746,659,25.4,5.7,0,0
49.3,0.1847,667,20.0,4.4,0,0
74.5,0.4194,816,6.1,3.9,1,0
49.7,0.2395,783,24.8,7.2,1,0
66.1,0.2746,712,17.9,1.1,0,0
41.0,0.3915,722,13.7,9.2,1,0
51.9,0.1423,671,24.0,0.4,0,0
40.7,0.1309,773,16.7,8.6,0,0
49.9,0.2264,697,8.7,2.6,0,0
67.6,0.3493,704,32.8,6.5,0,0
29.1,0.0903,757,17.9,10.4,1,0
61.5,0.0498,709,17.3,17.2,0,0
58.6,0.3488,706,14.8,3.7,0,0
46.1,0.1776,721,27.4,7.4,0,0
33.3,0.2029,768,13.8,5.1,1,0
56.1,0.0272,819,5.6,4.5,0,0
47.1,0.1685,755,12.6,5.1,0,0
58.5,0.2491,768,28.6,11.3,2,0
55.3,0.3616,708,24.7,6.0,0,0
