blue_ref,red_ref,nir_ref,swir_ref,ndvi,ndwi,texture_var,thermal_bt,land_cover
0.1421,0.3096,0.4356,0.5079,0.1691,-0.3171,0.0499,304.8,0
0.1756,0.2675,0.2934,0.4655,0.0462,-0.1396,0.09324,303.33,0
0.2364,0.4289,0.154,0.3365,-0.4717,0.3672,0.04605,302.37,0
0.1777,0.1444,0.5109,0.3982,0.5593,-0.5207,0.10795,303.79,0
0.0266,0.0617,0.8143,0.1189,0.859,-0.8971,0.04912,292.11,2
0.1699,0.5112,0.2627,0.3291,-0.321,0.129,0.07568,309.0,0
0.0973,0.0193,0.0119,0.0167,-0.2346,0.6597,0.01148,293.28,2
0.243,0.2997,0.4067,0.4672,0.1515,-0.1996,0.05358,308.59,0
0.2936,0.2885,0.1435,0.4487,-0.3357,0.3396,0.04397,310.41,0
0.0612,0.0587,0.4329,0.1972,0.761,-0.7566,0.00848,293.98,1
0.1698,0.15,0.167,0.3885,0.0537,-0.0218,0.13631,303.73,0
0.1931,0.283,0.1986,0.2891,-0.1753,0.0903,0.0478,303.57,0
0.2596,0.3027,0.146,0.4944,-0.3491,0.3163,0.05257,312.73,0
0.1829,0.4165,0.3381,0.4829,-0.104,-0.0601,0.11068,311.44,0
0.0422,0.0659,0.8088,0.2208,0.8492,-0.8746,0.03426,296.79,1
0.2849,0.3372,0.2076,0.2636,-0.2379,0.1995,0.06789,307.2,0
0.304,0.2319,0.2522,0.3,0.0419,0.0303,0.0631,300.07,1
0.306,0.2969,0.45,0.3627,0.2051,-0.1977,0.08957,303.2,0
0.2184,0.1358,0.2147,0.524,0.2252,-0.096,0.09565,310.77,0
0.0467,0.0338,0.7512,0.1296,0.9139,-0.8983,0.04151,295.46,1
0.0538,0.0455,0.3172,0.1225,0.7492,-0.7294,0.02786,294.52,1
0.0468,0.0488,0.7345,0.1095,0.8753,-0.8777,0.00902,301.03,1
0.0248,0.0797,0.4599,0.1299,0.7046,-0.796,0.01984,294.87,1
0.3162,0.1203,0.2813,0.2341,0.401,-0.1262,0.04218,308.66,0
0.3592,0.1466,0.5344,0.4916,0.5695,-0.3576,0.08776,304.71,0
0.071,0.0742,0.7021,0.0969,0.8087,-0.8126,0.07489,295.1,1
0.3343,0.4012,0.2163,0.5031,-0.2994,0.2593,0.13779,307.32,0
0.3412,0.2486,0.3734,0.4018,0.2007,-0.1174,0.05397,309.38,0
0.2188,0.1786,0.2191,0.4759,0.102,-0.0489,0.04136,306.04,0
0.1567,0.3997,0.2836,0.4562,-0.1699,-0.0096,0.10557,310.42,0
0.1318,0.0231,0.0109,0.005,-0.3611,0.7541,0.00942,296.34,2
0.3988,0.1136,0.5322,0.3761,0.6483,-0.3501,0.04797,306.74,0
0.0372,0.0242,0.7898,0.1726,0.9406,-0.9252,0.03457,297.27,1
0.1722,0.3184,0.1504,0.4434,-0.3585,0.2399,0.0374,312.93,0
0.0492,0.0298,0.4228,0.157,0.8684,-0.8291,0.02989,295.82,1
0.2876,0.0798,0.0098,0.0053,-0.7807,0.8985,0.0037,297.38,2
0.2163,0.3112,0.1586,0.5174,-0.3249,0.2491,0.16667,295.51,0
0.22,0.1338,0.3745,0.4394,0.4737,-0.3584,0.04982,297.45,0
0.0346,0.0404,0.2727,0.1057,0.7419,-0.7582,0.03127,295.15,1
0.2812,0.1721,0.2258,0.4902,0.1348,0.002,0.11841,305.52,0
0.0413,0.0553,0.4928,0.1259,0.7982,-0.8215,0.00997,300.76,1
0.0652,0.0652,0.7829,0.0992,0.8463,-0.8463,0.0354,290.47,1
0.2493,0.1834,0.4075,0.5285,0.3793,-0.3064,0.06113,299.81,0
0.1457,0.1733,0.5294,0.4129,0.5069,-0.537,0.04463,314.38,0
0.2082,0.4401,0.1649,0.4091,-0.4549,0.3256,0.04462,307.55,0
0.1978,0.2073,0.2807,0.3901,0.1503,-0.1617,0.05851,312.36,0
0.2395,0.4048,0.3089,0.3952,-0.1343,0.0209,0.08374,304.23,0
0.0226,0.0408,0.8167,0.1167,0.9048,-0.9253,0.0216,295.4,1
0.2857,0.2479,0.4651,0.488,0.3045,-0.2709,0.05086,296.75,0
0.3974,0.3906,0.2652,0.5035,-0.1912,0.1954,0.06492,305.64,0
0.3341,0.2553,0.2768,0.2243,0.0405,0.0313,0.07726,306.94,0
0.3379,0.3959,0.253,0.388,-0.2202,0.1837,0.07535,303.62,0
0.0389,0.0651,0.7394,0.1968,0.8382,-0.8686,0.01827,294.29,1
0.0298,0.0718,0.6029,0.1098,0.7871,-0.8446,0.02204,293.59,1
0.3875,0.1477,0.4976,0.4026,0.5423,-0.3006,0.05371,298.02,0
0.1215,0.4055,0.1973,0.235,-0.3453,0.1436,0.13691,310.14,0
0.0759,0.0521,0.7353,0.151,0.8678,-0.8399,0.00957,294.33,1
0.0655,0.0236,0.0128,0.0162,-0.295,0.5528,0.02669,295.23,2
0.1338,0.1838,0.0051,0.0194,-0.9456,0.9373,0.006,294.84,2
0.0403,0.0384,0.3485,0.1001,0.8014,-0.7971,0.03149,288.27,1
0.2295,0.096,0.0073,0.0041,-0.8584,0.914,0.00631,294.69,2
0.0453,0.0595,0.7636,0.1793,0.8555,-0.8717,0.01708,298.37,1
0.2184,0.441,0.4498,0.4748,0.0099,-0.1541,0.06105,306.74,0
0.0809,0.3375,0.3607,0.3817,0.0332,-0.2658,0.04109,303.88,0
0.2324,0.2165,0.3245,0.3353,0.1996,-0.1822,0.06543,301.23,0
0.1065,0.0172,0.0229,0.0048,0.1429,0.459,0.00399,296.01,2
0.0383,0.0266,0.44,0.1523,0.8859,-0.8626,0.01317,295.06,1
0.2765,0.3091,0.2085,0.3119,-0.1943,0.1681,0.06241,300.18,0
0.0885,0.0203,0.032,0.0092,0.2241,0.2595,0.00605,293.2,2
0.1818,0.2743,0.4905,0.3247,0.2827,-0.3653,0.09558,304.67,0
0.1101,0.0185,0.0282,0.0069,0.2078,0.3904,0.00634,293.0,2
0.046,0.0486,0.4153,0.1954,0.7906,-0.7955,0.03023,297.05,1
0.2765,0.204,0.2808,0.4032,0.1584,-0.0778,0.05874,313.26,0
0.0256,0.0675,0.8208,0.1784,0.8481,-0.8927,0.02366,293.26,1
0.1555,0.0844,0.4529,0.4942,0.6859,-0.5813,0.04745,306.19,0
0.1572,0.1714,0.2267,0.3244,0.1389,-0.1595,0.11627,304.31,0
