egt_c,cit_c,tbmt_c,brg_c,ics_c,lube_c,amb_c,op_state
528.51,23.92,904.39,62.09,308.73,50.62,19.05,0
522.73,37.7,804.59,69.18,326.58,42.09,33.77,0
628.07,34.17,1073.68,127.88,360.89,121.62,35.94,2
678.56,28.58,1119.9,125.05,419.41,95.17,24.28,2
555.64,17.22,886.48,57.82,330.67,37.28,16.62,0
514.6,23.08,788.37,73.42,317.66,39.16,23.33,0
614.94,42.71,1063.93,118.21,357.38,104.0,48.86,2
531.28,38.74,864.68,62.45,318.17,38.43,39.8,0
626.46,43.04,1034.31,119.25,366.85,93.42,44.42,2
31.47,31.82,48.55,-20.0,76.13,10.94,23.19,3
564.69,40.97,913.02,103.08,341.24,69.02,46.35,1
523.75,19.64,811.85,73.21,305.96,55.14,23.75,0
553.48,27.54,,64.94,320.55,41.14,29.75,0
530.66,3.6,909.7,76.77,303.14,52.94,0.46,0
624.25,21.04,1062.56,111.79,,80.0,28.57,2
517.89,25.83,834.31,68.31,301.16,47.35,23.83,0
690.76,13.05,1125.0,134.06,457.56,146.98,22.97,3
647.24,33.29,1111.92,125.01,,93.82,27.01,2
534.28,24.82,881.02,70.92,317.53,55.83,33.0,0
557.49,24.05,900.0,101.71,326.62,71.33,30.88,1
560.29,15.99,905.18,85.09,310.0,60.0,11.7,1
540.81,22.94,866.42,81.78,312.94,60.1,24.46,0
652.53,35.77,,90.0,,80.0,35.32,2
545.63,15.11,,89.96,307.83,64.91,17.14,0
521.02,14.47,847.4,65.53,300.32,47.66,16.71,0
557.37,12.37,935.82,89.87,319.42,72.23,13.39,1
512.69,19.01,817.02,69.6,305.88,46.33,12.56,0
503.04,21.86,788.11,77.9,297.76,57.5,15.96,0
618.32,21.1,1053.36,130.36,352.15,104.32,25.57,2
632.19,35.35,1082.88,110.66,372.2,80.0,32.07,2
619.91,14.26,1027.62,125.54,370.26,98.14,16.37,2
621.7,39.83,1046.86,125.1,390.48,83.67,41.57,2
623.13,20.21,1059.69,99.25,,80.0,22.29,2
499.31,18.53,,72.1,,46.09,24.44,0
521.31,9.98,,78.71,287.27,70.54,10.84,0
553.06,16.44,905.45,69.15,298.13,53.21,15.45,0
608.15,28.44,980.0,117.37,376.76,98.6,29.31,2
566.26,14.12,957.78,82.65,358.25,61.59,13.42,1
504.66,27.01,815.31,67.32,307.49,47.45,29.66,0
560.18,26.8,983.98,111.47,331.42,75.74,28.6,1
683.41,30.08,1120.0,130.75,400.46,89.65,26.49,2
630.63,38.51,1080.18,114.12,376.64,80.0,38.05,2
629.16,10.98,,112.9,397.86,85.93,12.57,2
646.95,33.69,1120.0,117.55,404.28,96.4,38.21,2
527.57,20.75,841.02,76.04,287.51,54.83,13.18,0
513.53,29.83,,85.43,313.74,68.94,27.39,0
584.6,23.88,948.41,106.47,359.57,99.79,26.79,1
507.87,14.88,806.18,72.91,306.51,40.77,17.35,0
507.75,22.88,818.31,79.87,299.4,52.97,17.84,0
503.84,22.98,822.14,66.42,286.91,47.3,23.08,0
504.79,24.37,800.11,91.4,280.4,65.19,22.05,0
505.68,17.59,815.78,70.39,287.26,52.17,18.9,0
498.34,39.83,,83.68,296.59,62.05,38.73,0
530.12,30.51,833.05,74.87,298.95,48.25,33.32,0
512.94,23.34,801.7,,274.53,48.49,26.16,0
620.19,17.79,1008.02,98.42,363.74,80.0,17.73,2
565.59,28.15,961.25,101.92,347.88,65.46,25.73,1
506.14,26.52,780.35,74.06,279.29,49.68,26.07,0
504.93,14.73,818.19,73.92,292.49,51.61,17.6,0
523.97,23.97,819.67,60.13,309.96,51.16,25.07,0
514.16,17.16,812.58,84.34,308.5,60.87,16.64,0
521.64,22.15,854.97,76.72,320.55,51.37,23.55,0
511.49,21.54,803.75,75.83,285.36,49.83,23.97,0
566.43,26.13,,90.99,345.55,68.89,26.82,1
504.03,16.46,842.37,73.17,275.22,45.77,16.6,0
578.19,8.57,981.88,85.07,336.52,69.05,6.82,1
583.21,18.94,,75.52,339.02,60.0,28.58,1
618.58,20.15,988.12,93.33,,66.25,18.93,1
565.67,31.41,,75.0,,60.0,34.5,1
608.83,34.93,1059.0,105.63,378.69,80.0,33.55,2
636.38,27.28,1061.0,106.02,394.52,85.37,26.82,2
526.73,8.1,799.55,61.64,,40.94,9.62,0
632.55,29.12,1120.0,242.0231722125261,376.75,119.39,29.98,2
550.38,9.19,878.74,77.14,325.22,44.5,13.37,0
507.29,23.22,862.9,71.69,301.28,53.35,18.98,0
510.1,21.94,844.04,81.01,281.9,51.67,25.18,1
580.2,26.48,987.97,85.7,320.72,67.69,25.61,1
523.04,9.38,823.25,81.33,306.62,54.18,10.31,0
549.07,8.81,878.9,79.41,327.73,53.43,5.83,0
607.39,10.74,990.14,110.07,,89.31,4.36,2
490.49,24.68,,83.24,291.2,50.32,18.96,0
589.45,23.39,980.0,114.15,380.53,,23.3,2
629.58,9.5,1109.9,124.85,385.32,82.43,11.47,2
580.29,24.83,985.64,89.83,340.48,60.0,27.73,1
538.26,11.79,,,311.9,48.8,16.09,0
567.63,26.97,,88.75,326.17,60.0,25.91,1
505.83,26.81,,58.14,301.37,46.09,22.31,0
530.89,18.66,859.79,82.76,305.99,61.9,17.92,0
590.14,21.24,974.99,75.0,346.9,60.0,26.7,1
571.29,25.43,966.0,90.11,31.48852179579623,73.03,25.58,1
519.93,11.0,823.93,65.12,337.3,51.23,8.58,0
538.77,20.48,872.01,67.12,302.58,42.52,17.39,0
549.62,17.26,900.0,83.83,310.6,62.14,17.3,1
500.83,28.38,790.78,79.64,278.66,,26.8,0
507.1,14.29,813.24,81.34,319.67,64.72,16.75,0
578.32,16.28,,99.2,322.36,68.9,13.97,1
81.89,3.65,189.58,-0.07,115.65,4.0,41.54,3
683.55,26.6,,190.08,455.82,134.64,21.58,3
572.61,23.51,923.59,94.35,349.79,74.9,24.9,1
569.98,23.43,924.24,90.93,364.07,60.51,21.42,1
509.31,14.53,821.6,89.61,293.38,66.55,13.92,0
566.52,23.62,,94.96,372.97,63.07,23.73,1
509.05,27.39,842.33,76.08,290.52,46.27,27.99,0
619.08,31.03,,117.71,348.49,85.55,30.37,2
552.73,18.03,912.22,86.19,321.81,62.02,17.19,1
624.69,27.98,1047.31,124.22,372.98,80.0,26.28,2
42.8,-7.59,121.54,20.38,69.43,14.35,17.37,3
618.12,33.62,995.18,127.22,364.85,84.89,34.55,1
633.67,28.36,1102.58,121.62,390.17,87.22,26.56,2
564.24,24.24,998.41,107.11,376.33,75.65,25.79,1
605.64,22.69,1020.0,90.91,344.8,72.5,18.22,1
498.02,22.05,826.65,68.5,272.93,44.62,22.17,0
516.04,29.62,837.18,76.48,306.36,60.1,29.81,0
489.78,29.73,849.26,64.88,289.1,52.76,29.76,0
581.94,21.07,976.8,109.35,,68.48,24.4,1
550.68,10.83,925.03,86.67,344.83,71.8,10.34,1
503.09,11.04,813.87,78.66,300.29,52.48,9.78,0
505.09,24.45,793.91,74.48,301.24,47.66,25.47,0
581.06,16.21,959.09,86.27,358.46,74.79,20.02,1
534.87,32.45,865.93,77.24,297.11,51.77,32.95,0
583.16,26.04,1008.06,96.29,322.86,69.09,25.6,1
566.9,9.49,908.62,92.15,338.87,73.51,8.88,1
542.15,31.74,871.57,63.93,307.76,46.84,28.23,0
509.8,18.81,852.07,66.35,,54.7,16.43,0
543.31,18.98,867.02,69.98,315.0,49.58,17.85,0
538.8,16.1,900.0,95.86,322.5,65.48,17.92,1
579.36,12.73,985.0,87.49,339.61,65.09,9.03,1
529.98,20.46,,71.91,308.65,37.97,19.57,0
616.29,27.91,1093.6,100.47,365.47,80.0,28.74,2
548.78,35.7,872.88,,318.0,53.57,30.49,0
505.6,18.11,,80.01,298.28,58.45,18.33,0
531.81,33.07,876.99,66.06,314.05,63.71,31.41,0
633.45,25.22,1018.94,129.72,376.14,88.02,28.62,2
559.54,20.15,946.41,100.94,310.0,81.63,24.1,1
532.44,22.45,833.11,79.6,302.03,58.55,22.5,0
607.67,22.99,1004.03,101.26,365.22,85.05,21.15,1
563.32,26.77,952.07,105.01,318.61,70.55,28.04,1
510.77,30.29,790.48,69.48,294.86,57.85,31.98,0
609.45,19.33,1064.01,118.59,362.27,84.08,14.79,2
