period_min,amplitude_mag,bp_rp,phi21,r21,fe_h_proxy,skewness,luminosity_lsun,n_modes,star_type
240837.9107,2.4526,4.0046,4.9717,0.3015,0.444,1.3191,500000.0,-0.0455,3
600000.0,1.9619,2.0368,4.0918,0.3644,0.5638,0.591,500000.0,0.1663,3
1045.3404,0.6109,1.9831,2.7123,0.5181,-1.6192,1.0219,2831.9516,-0.1549,1
3353.18,0.523,1.66,4.5399,0.4824,0.391,0.2739,2863.2039,0.6351,2
15441.5211,0.7604,0.8245,5.9186,0.6458,-2.7109,0.184,1887.9741,-0.2,4
951.4653,1.0119,0.5425,1.9887,0.4991,-1.7926,0.3517,114638.0944,0.2701,1
4901.5155,0.4984,1.1784,7.7402,0.4538,0.4921,0.6123,500000.0,-0.2,4
6935.3376,1.0894,1.7663,3.719,0.6128,-1.2695,0.3698,6.4617,0.4997,4
72.271,0.0518,1.1557,5.5325,0.3761,-2.833,1.12,251.991,0.5102,6
600000.0,5.8523,2.427,7.2045,0.2345,-0.3221,1.2064,0.5579,0.0354,3
532828.0853,1.0632,5.2424,5.6008,0.1933,-0.9368,0.6743,58784.4137,0.297,3
59.4534,0.0579,-0.15,5.3749,0.2032,-0.1633,-0.9031,0.5,0.5483,5
909.2442,0.0408,0.614,7.3124,0.1833,0.8,-0.7423,0.5,1.3016,0
1461.1482,0.8364,1.4081,0.1453,0.5189,-0.8524,1.0008,9276.6325,-0.0268,1
47.9278,0.0942,0.7996,1.5191,0.2406,-1.1763,-0.0915,1.1543,0.767,0
1676.5689,0.714,2.0055,3.4258,0.4033,-0.871,1.8,96235.3092,0.3567,1
28413.1011,1.1843,1.1993,2.5628,0.7628,-1.5195,0.3973,1.4197,0.3597,4
1051.5131,0.3369,1.8175,3.1252,0.522,-1.5833,0.4826,0.5,0.4004,1
358.3326,0.0355,1.1965,7.7271,0.5306,-0.2142,-0.7484,0.5,0.8329,0
1477.4928,0.5477,1.7032,1.9056,0.2609,-1.8701,0.8309,1.5369,0.4434,1
22.9816,0.0117,0.5733,4.6576,0.2914,-0.4289,1.1385,438.2427,1.2242,5
3320.6536,0.2411,1.6359,6.0685,0.3153,0.2163,0.989,6.5257,0.7158,2
252.4027,0.0339,-0.1115,8.1774,0.1506,-0.9158,-0.0105,7.7798,0.4353,5
319.3941,0.1896,-0.0025,3.2801,0.1805,0.4933,0.5166,117200.6961,1.1915,5
