log_sfr,log_stellar_mass,u_r_colour,dn4000,log_ssfr,h_alpha_ew,log_halpha_lum,velocity_dispersion,galaxy_type
-0.91543,10.09634,1.52797,1.12101,-11.01178,29.91161,40.54006,46.80283,0
-0.39779,9.99772,1.43478,1.04277,-10.39551,11.57539,40.60975,54.58305,0
2.2432,9.96111,1.26363,0.85,-7.71791,35.60444,43.22034,136.85911,2
0.59399,9.32382,1.16765,0.85,-8.72984,95.864,41.78434,190.47861,2
-1.19401,10.04494,2.86854,1.69216,-11.23895,-0.34415,40.21734,80.0,1
-0.09489,9.8991,1.69353,1.15904,-9.99399,6.67421,41.1448,21.88155,0
-0.80353,10.08497,2.36354,1.54745,-10.8885,2.97655,40.35309,94.5902,1
1.0601,10.32627,0.86714,0.87653,-9.26617,49.49331,42.44328,139.8769,2
0.65628,10.1346,0.61266,0.90413,-9.47831,48.2156,41.7179,161.22468,2
-2.56229,10.85842,2.11383,1.4,-13.42072,1.70589,38.91857,88.77528,1
-1.3039,11.60813,2.81711,1.53046,-12.91203,6.54087,39.17467,89.23397,1
1.05919,9.45946,1.30465,1.22948,-8.40027,121.20053,42.17933,139.52856,2
-2.00436,10.53478,2.96258,1.82973,-12.53915,-2.29948,39.21785,80.0,1
-0.49909,9.60266,1.50199,1.39908,-10.10175,120.0,40.59443,57.55621,0
1.11332,10.01056,1.51203,1.31632,-8.89724,35.08496,42.39827,77.33728,2
-1.407,10.26915,2.50276,1.4,-11.67616,5.68858,39.49425,80.0,1
-1.71708,10.25724,2.57117,1.73999,-11.97431,-0.11198,39.30867,80.0,1
-2.60623,10.99004,2.98927,1.82577,-13.59627,7.28116,38.66915,98.32984,1
-2.30795,10.61639,2.14885,1.43515,-12.92434,2.75539,38.5371,93.33814,1
2.20199,10.70799,0.6813,0.85,-8.506,56.82967,42.95114,141.73966,2
-0.23147,10.71284,2.04358,1.22231,-10.94431,29.93709,41.11071,57.04379,0
0.13298,9.873,1.22579,1.02381,-9.74003,8.07817,41.16713,76.02061,2
-0.56688,10.06611,1.58729,1.00819,-10.63299,10.67105,41.11833,77.45174,0
-2.6221,11.48195,2.55502,1.63745,-14.0,-4.19788,38.53857,80.0,1
0.76627,9.75099,1.02569,0.85,-8.98472,42.69826,42.02801,47.3768,2
-2.50704,9.64384,2.48703,1.49061,-12.15088,0.97443,38.4307,80.0,1
-2.91575,9.5,2.89713,1.70171,-12.22975,-1.06911,38.22555,80.0,1
-0.47354,9.60223,1.35425,1.05622,-10.07577,19.25645,40.59602,35.16894,0
1.57519,10.54552,1.4893,0.99822,-8.97033,112.84885,42.68284,139.03932,2
1.73668,10.85461,0.63003,0.85,-9.11793,149.18162,42.82402,110.5919,2
-0.87599,10.01745,1.74375,1.31091,-10.89344,11.60687,40.43435,42.01941,0
-1.80767,11.12348,2.46249,1.57636,-12.93115,-2.42571,39.74894,128.4019,1
-1.69025,11.70223,2.72939,1.72127,-13.39248,-1.27812,39.23199,119.58693,1
