log_sfr,log_stellar_mass,u_r_colour,dn4000,log_ssfr,h_alpha_ew,log_halpha_lum,velocity_dispersion
-1.05743,9.27693,2.08779,1.37159,-10.33436,6.53146,40.15627,63.59437
-2.30063,8.54571,2.03502,1.32991,-10.84634,8.09487,38.97658,77.94035
-0.78182,10.50537,2.51365,1.63797,-11.28719,1.91372,39.75876,100.15563
-0.23486,10.57776,0.69035,0.86768,-10.81262,18.34818,41.19268,22.98132
-0.15008,10.17438,1.54699,1.14622,-10.32447,27.02462,40.98201,77.65188
-0.71664,9.99535,1.254,1.15784,-10.71199,19.09523,40.69156,41.89101
-2.36626,10.4355,3.03068,1.61176,-12.80176,-1.96565,38.67462,120.41591
-2.28258,8.77145,1.24066,1.03152,-11.05402,22.38999,39.11053,37.19554
-1.14973,10.8388,2.83635,1.71466,-11.98853,0.91007,39.8826,80.0
-0.48835,9.88775,1.6263,1.26938,-10.3761,8.05833,40.72311,48.78117
-0.89714,10.6049,2.44227,1.4809,-11.50205,-3.18539,40.24424,100.07214
0.70904,8.869,1.27651,1.04653,-8.15996,79.33655,41.77924,85.97491
-2.10154,9.90524,2.49342,1.77735,-12.00678,-2.45141,38.70767,86.67032
1.02794,9.69517,1.17372,0.85,-8.66722,21.51063,42.07778,46.24679
-1.30791,9.6365,1.38423,0.95884,-10.9444,11.91153,40.51557,72.68969
-1.56507,10.44142,2.926,1.86751,-12.0065,1.38091,39.88721,148.52018
-1.4662,10.4858,2.46789,1.65789,-11.952,2.57054,39.13222,80.0
-1.1006,10.91879,2.90938,1.76514,-12.01939,1.13812,39.85243,80.0
1.89358,11.051,1.30762,1.04793,-9.15742,74.10635,42.87452,102.94485
1.93367,10.95922,1.3954,1.08205,-9.02556,18.58118,42.82998,122.63552
-2.32449,11.65599,2.59606,1.66501,-13.98047,-0.71258,38.81386,100.12359
-0.71958,10.46827,2.15752,1.4561,-11.18785,25.22704,40.48375,78.15396
0.81787,10.88084,1.32463,0.96066,-10.06297,25.25912,42.03722,20.84495
0.06097,10.98384,1.34001,1.12288,-10.92287,10.38449,40.76952,68.44016
0.48636,11.04331,1.71387,1.15189,-10.55695,10.34686,41.87046,38.68527
0.15594,10.24127,1.36411,1.17729,-10.08533,11.35518,41.46319,35.33972
0.29691,9.66231,1.83494,1.35109,-9.3654,41.60746,41.47355,81.92281
