prof_mean,prof_std,prof_skewness,prof_kurtosis,dm_snr_mean,dm_snr_std,dm_snr_skewness,dm_snr_kurtosis,subband_01,subband_02,subband_03,subband_04,subband_05,subband_06,subband_07,subband_08,pipeline_01,pipeline_02,pipeline_03,pipeline_04,candidate_type
0.051068,1.135142,-0.157346,-0.640055,-0.047659,1.085581,-0.855891,-0.403884,-1.147839,2.032178,-1.281886,0.53965,0.6485,-0.030612,-0.864888,-1.068513,-0.07368,1.336699,-0.332112,0.26619,0
0.316583,0.222296,-0.898626,0.355027,-0.314346,0.174658,-0.294678,-1.16663,0.533578,-0.516924,0.201811,0.415821,-0.96241,0.819781,-1.060293,-0.88533,-1.273272,1.322418,-0.790535,-0.716188,0
-0.143978,0.385115,1.954922,2.306366,-0.102067,-1.738591,0.821644,3.124716,-1.161348,0.735218,2.510216,3.261755,-2.510149,-1.472546,-0.287422,2.760982,0.318845,1.991139,2.999975,0.804474,1
-0.814181,-1.563071,1.036285,0.511885,0.555113,2.064112,-0.99371,-0.606111,0.201855,-0.568947,1.822849,-0.245787,0.660333,3.415696,-1.726017,-0.181902,2.809608,1.89416,0.915374,-0.153653,0
-0.920445,1.048648,0.751104,-1.001984,-1.524748,-0.581711,-0.181792,0.92838,-1.419219,0.59344,1.043704,-1.661748,-1.930957,-1.15747,0.129662,1.211128,0.305549,1.403073,0.989567,-3.386273,0
0.932436,-0.524416,-0.880735,0.813367,-1.323265,1.252844,-1.275111,-0.732566,0.647655,-1.012113,-0.844453,2.103775,-0.395446,0.955225,-0.583051,-0.540712,1.898997,2.003295,0.886668,1.148575,0
0.182699,-0.194076,-0.818683,-0.165322,0.417772,-0.61682,0.353629,-0.697225,1.40949,-0.547399,-2.184684,1.260257,1.34876,-0.450136,-0.341491,-1.154732,0.655744,1.129649,0.109766,0.326552,0
3.031459,-0.594636,1.616139,2.849305,1.738472,-1.317646,1.012979,4.543708,3.112815,-0.123413,2.23806,2.359006,0.819702,-1.846668,1.405842,2.938764,3.110934,1.008725,1.642168,0.998552,1
-0.396926,-0.403856,-0.273787,0.107193,-0.249156,-0.244873,-0.280236,0.576959,1.491002,-0.495616,0.290636,-0.070335,0.573894,-0.060714,0.704787,0.192052,-0.219602,1.214149,-0.339171,-1.734214,0
-0.390559,-1.481679,1.58524,0.996931,-0.727537,-2.093742,-0.051384,1.559163,-0.20061,-2.866753,-0.32646,0.982267,-0.390596,-3.19521,0.259854,2.12336,0.243826,3.374711,1.05247,1.334644,1
1.005854,0.292578,1.518639,0.065727,0.339488,-0.229397,1.50779,0.477566,1.768232,0.652713,0.79979,0.576506,0.369591,1.060787,2.509141,-2.002993,-0.392241,-1.106125,-1.21763,-0.396118,0
2.978166,-0.370673,1.638373,2.428447,-0.713641,-2.407763,0.412467,1.074915,3.437561,-0.436062,1.232094,3.075808,-0.95173,-2.558675,1.786489,0.921685,-1.153333,3.147813,3.014795,-1.273907,1
1.115918,0.769157,-0.145318,0.954093,1.88454,-0.946823,1.550916,5.562423,2.02387,0.802393,-1.045925,0.627789,1.972893,-0.29799,1.180288,6.090391,2.968759,0.023222,2.038296,1.146844,1
1.27495,-0.302956,1.249983,-1.299861,-0.022824,-0.384077,0.452572,0.639711,0.642461,-0.594215,1.05636,-0.902976,0.734783,-0.949495,0.993922,0.306052,0.624523,-3.953016,2.674284,2.685123,0
-1.392115,1.135944,-0.080202,-2.205778,-0.357407,1.527593,0.351409,-0.949769,-1.887137,0.63714,-2.052477,-3.277338,0.066021,1.078225,0.158104,-1.694499,-1.740395,-1.356948,3.557628,0.211342,0
0.989564,-0.31341,1.59187,1.007721,-0.123008,-1.734671,-0.660131,4.237154,1.723964,-0.481604,2.108314,0.830891,0.577299,-2.885599,-0.861195,6.197149,-0.097283,0.054502,1.994381,-0.091615,1
-0.671216,0.709025,-0.858028,-0.029153,0.550687,0.657002,1.18065,-0.643329,-1.443201,0.92855,-2.641762,0.645818,1.108876,0.826731,1.644544,-0.821603,-1.937645,1.137867,-0.061749,-0.324082,0
-0.317654,-0.500462,1.789629,-1.204107,0.155808,-0.289453,0.976567,-0.468761,0.41365,-0.678694,1.522201,-1.188939,-0.166858,0.215054,1.489245,-0.66114,-1.41934,-3.183365,0.936178,1.779897,0
0.646062,1.138736,-1.031109,0.150319,0.444746,2.17869,-0.702401,-1.515982,0.417106,1.671118,-0.939194,-1.920064,-0.257659,2.406578,-0.031331,-1.802952,-0.370974,-1.040227,0.27388,2.776241,0
0.087671,0.923775,1.072115,3.619085,0.461435,-0.017069,0.570279,4.718749,1.595075,1.414223,1.174791,3.577428,1.354105,0.312554,0.460143,5.887227,0.384449,1.973018,-0.419563,-1.085882,1
1.193448,0.847156,0.607423,1.700059,-0.035403,-1.727745,0.457799,-0.004263,0.796191,0.189563,1.982507,1.626115,-0.415341,-3.06557,1.633402,-0.271141,-1.909717,-1.944619,-1.506649,-0.886703,0
-1.371305,-0.36321,1.525321,0.108179,-0.96565,-0.495059,0.712685,-0.1061,-0.727318,-0.34115,0.387698,-0.284307,-1.196047,0.170132,0.631597,-0.791255,3.047762,0.729451,-2.125253,-0.196914,0
0.461643,-0.471104,-0.078517,-2.520605,-0.330918,-0.588184,-0.184347,-0.785376,0.04437,0.55865,0.001318,-1.896274,-0.118267,0.327414,-0.839926,-1.578183,-1.723065,0.64011,-0.096242,4.557133,0
-1.819076,0.26849,0.177922,-0.11701,0.362049,0.057597,1.051795,-0.927637,-2.566775,0.189682,0.683303,0.321552,-0.647748,0.525708,0.552837,-0.376562,0.179024,0.974966,-0.656075,-0.233864,0
1.403395,-1.163946,-1.447306,0.648286,1.11049,-1.675417,-0.739164,-1.784632,1.605612,-0.036663,-1.520601,0.732334,0.771842,-2.195457,-0.665138,-1.938073,-0.298422,-0.081856,-1.817437,2.704341,0
0.201848,0.712684,0.946865,-0.027349,0.047733,-0.036365,-0.470609,0.477342,1.126138,1.006431,0.467045,0.247217,-0.258946,-0.139032,0.120178,0.422555,1.168843,0.035017,-0.65905,-1.087225,0
